Country,Round of 16,Quarter Final,Semi Final,Final,Winner
France,84.03,53.53,32.22,18.9,11.3
Germany,87.3,50.660000000000004,28.910000000000004,16.950000000000003,9.629999999999999
Belgium,87.78,52.059999999999995,29.78,17.06,9.48
Portugal,87.46000000000001,50.949999999999996,29.56,16.56,9.33
Spain,81.51,49.120000000000005,28.599999999999998,15.72,8.61
England,82.19,46.23,25.169999999999998,13.700000000000001,7.199999999999999
Italy,73.97,40.14,21.279999999999998,11.06,5.489999999999999
Netherlands,72.44,40.02,21.32,11.129999999999999,5.46
Croatia,74.5,41.0,21.65,11.01,5.41
Serbia,69.08999999999999,33.129999999999995,15.57,7.66,3.4099999999999997
Switzerland,72.78999999999999,34.839999999999996,16.669999999999998,7.55,3.36
Denmark,70.04,34.0,15.620000000000001,7.180000000000001,3.2300000000000004
Czech Republic,72.6,34.88,16.63,7.28,3.18
Poland,61.12,30.630000000000003,15.229999999999999,6.76,3.02
Ukraine,62.33,26.669999999999998,10.74,4.4799999999999995,1.8499999999999999
Slovakia,62.370000000000005,26.76,11.32,4.590000000000001,1.8399999999999999
Austria,51.39,23.18,9.9,4.16,1.66
TÃ¼rkiye,63.06,25.990000000000002,10.8,4.43,1.6500000000000001
Hungary,56.54,22.6,8.709999999999999,3.17,1.17
Romania,50.8,19.3,6.98,2.6100000000000003,0.97
Scotland,50.64999999999999,19.46,6.93,2.37,0.89
Slovenia,47.75,17.83,6.74,2.46,0.79
Albania,41.05,15.53,5.87,2.03,0.74
Georgia,37.24,11.49,3.8,1.18,0.33
